month,product,sales
January,P003,9585.832
January,P007,9585.104
January,P010,8801.408
February,P010,9401.266
February,P005,7799.302
February,P001,7073.590999999999
March,P008,11938.014000000001
March,P007,9994.698
March,P003,9257.526
April,P009,13818.47
April,P005,13391.92
April,P006,11845.45
May,P006,14070.430000000002
May,P010,10961.709
May,P009,10802.209
June,P010,17752.896
June,P001,14076.119999999999
June,P006,12942.372
July,P010,21433.204
July,P001,20883.083000000002
July,P004,16485.56
August,P010,13927.619999999999
August,P003,13223.135999999999
August,P004,11632.356
September,P004,12921.018
September,P007,10163.043000000001
September,P010,9680.308
October,P006,14370.69
October,P007,13233.93
October,P005,11595.74
November,P006,16112.616
November,P002,12695.052
November,P004,11228.352
December,P002,16714.395
December,P004,16466.79
December,P008,15053.775
