OrderID,OrderYear,OrderMonth,OrderDay,OrderDate,ProductID,CustomerID,Region,Quantity,UnitPrice,ProductName,Category,TotalSales
ORD-1000,2022,4,24,2022-04-24 17:58:44.392414,P008,CUST-38,East,7,70.69,Whiteboard,Office Equipment,494.83
ORD-1001,2022,4,25,2022-04-25 17:58:44.392414,P005,CUST-29,East,2,146.62,Monitor Stand,Accessories,293.24
ORD-1002,2022,4,25,2022-04-25 17:58:44.392414,P008,CUST-41,West,2,163.97,Whiteboard,Office Equipment,327.94
ORD-1003,2022,4,26,2022-04-26 17:58:44.392414,P001,CUST-47,East,1,196.09,Premium Office Chair,Accessories,196.09
ORD-1004,2022,4,26,2022-04-26 17:58:44.392414,P006,CUST-40,West,4,41.79,Desk Lamp,Office Equipment,167.16
ORD-1005,2022,4,26,2022-04-26 17:58:44.392414,P002,CUST-28,East,6,41.27,Standard Desk,Furniture,247.62
ORD-1006,2022,4,27,2022-04-27 17:58:44.392414,P003,CUST-12,South,2,122.96,Ergonomic Keyboard,Furniture,245.92
ORD-1007,2022,4,28,2022-04-28 17:58:44.392414,P003,CUST-16,West,9,24.46,Ergonomic Keyboard,Electronics,220.14000000000001
ORD-1008,2022,4,28,2022-04-28 17:58:44.392414,P005,CUST-9,North,6,85.55,Monitor Stand,Electronics,513.3
ORD-1009,2022,4,28,2022-04-28 17:58:44.392414,P006,CUST-36,West,5,167.35,Desk Lamp,Electronics,836.75
ORD-1010,2022,4,29,2022-04-29 17:58:44.392414,P003,CUST-25,East,7,104.03,Ergonomic Keyboard,Accessories,728.21
ORD-1011,2022,4,30,2022-04-30 17:58:44.392414,P009,CUST-15,West,5,44.75,Conference Table,Storage,223.75
ORD-1012,2022,4,30,2022-04-30 17:58:44.392414,P004,CUST-17,South,4,28.03,Wireless Mouse,Office Equipment,112.12
ORD-1013,2022,5,1,2022-05-01 17:58:44.392414,P001,CUST-34,East,6,124.12,Premium Office Chair,Electronics,819.1920000000001
ORD-1014,2022,5,2,2022-05-02 17:58:44.392414,P001,CUST-14,West,4,161.26,Premium Office Chair,Accessories,709.544
ORD-1015,2022,5,2,2022-05-02 17:58:44.392414,P003,CUST-35,South,9,73.0,Ergonomic Keyboard,Electronics,722.7
ORD-1016,2022,5,3,2022-05-03 17:58:44.392414,P008,CUST-2,South,4,173.96,Whiteboard,Electronics,765.4240000000001
ORD-1017,2022,5,4,2022-05-04 17:58:44.392414,P002,CUST-5,East,2,22.2,Standard Desk,Storage,48.84
