SKU,Description,Property,Product,Territory,Channel,Sales Type,Units,Price,Return Units,Royalty %,Royalty Pay,MONTH,YEAR,Gross Sales,Returns,Net Units,Net Sales,Royalty Payable
SKU001,Notebook,Wireless,Electronics,Asia,Wholesale,Subscription,35,34.06,6,0.0857,Processing,3,2025,1192.1,204.36,29,987.74,84.65
SKU002,Water Bottle,Type-Lined,Home Goods,Canada,Wholesale,Direct,36,92.52,5,0.0333,Pending,10,2025,3330.72,462.6,31,2868.12,95.51
SKU003,Backpack,Size-Medium,Home Goods,Australia,Wholesale,Direct,163,70.18,0,0.0917,Not Applicable,9,2025,11439.34,0.0,163,11439.34,1048.99
SKU004,Water Bottle,Fit-10 inch,Footwear,USA,Retail,Direct,108,54.03,1,0.018,Processing,5,2025,5835.24,54.03,107,5781.21,104.06
SKU005,Backpack,Size-Medium,Accessories,USA,Retail,Subscription,79,45.78,7,0.0416,Not Applicable,4,2025,3616.62,320.46,72,3296.16,137.12
SKU006,Notebook,Color-Blue,Office Supplies,USA,Distributor,Subscription,117,40.22,0,0.0753,Pending,8,2025,4705.74,0.0,117,4705.74,354.34
SKU007,Tablet Case,Style-Modern,Electronics,Canada,Retail,Subscription,107,69.06,3,0.0304,Processing,3,2025,7389.42,207.18,104,7182.24,218.34
SKU008,Backpack,Type-Lined,Furniture,Europe,Distributor,Direct,103,26.85,0,0.0111,Not Applicable,12,2023,2765.55,0.0,103,2765.55,30.7
SKU009,Sneakers,Color-Black,Stationery,Australia,Online,Reseller,44,46.55,6,0.0861,Not Applicable,10,2023,2048.2,279.3,38,1768.9,152.3
SKU010,Notebook,Wireless,Accessories,Europe,Retail,Reseller,54,11.36,9,0.0255,Paid,9,2024,613.44,102.24,45,511.2,13.04
SKU011,Coffee Mug,Style-Modern,Accessories,USA,Retail,Reseller,194,57.99,5,0.0241,Pending,7,2025,11250.06,289.95,189,10960.11,264.14
SKU012,Sneakers,Color-Black,Apparel,Australia,Online,Direct,120,40.91,7,0.0143,Processing,9,2023,4909.2,286.37,113,4622.83,66.11
SKU013,Tablet Case,Material-Steel,Electronics,Australia,Online,Direct,11,46.76,1,0.0308,Pending,2,2024,514.36,46.76,10,467.6,14.4
SKU014,Notebook,Wireless,Home Goods,Asia,Wholesale,Reseller,6,32.26,9,0.0482,Pending,11,2024,193.56,290.34,-3,-96.78,-4.66
SKU015,T-Shirt,Color-Black,Footwear,Europe,Online,Direct,58,36.11,2,0.093,Pending,12,2024,2094.38,72.22,56,2022.16,188.06
SKU016,Notebook,Material-Steel,Footwear,Australia,Online,Direct,164,33.38,5,0.02,Pending,2,2024,5474.32,166.9,159,5307.42,106.15
SKU017,T-Shirt,Size-Medium,Apparel,Australia,Distributor,Reseller,72,97.36,2,0.0418,Paid,2,2024,7009.92,194.72,70,6815.2,284.88
