age,gender,location,time_on_site,pages_visited,num_purchases,customer_rating,product_id,category_id,price,discount,in_stock,delivery_time,user_id,device_type,session_duration,orders_completed,support_interactions,marketing_channel,target,bid_amount,product_value
27,Other,Urban,64,17,20,3,185,16,183,0,False,8,1085,Desktop,3167,14,5,Paid Ads,0,56.095248519796634,183
30,Other,Rural,467,30,3,2,460,11,236,0,True,1,1159,Mobile,776,1,3,Paid Ads,0,87.4001734830017,236
28,Other,Urban,140,29,5,5,241,15,63,0,False,7,1812,Tablet,2388,9,2,Organic Search,0,66.96690797621649,63
28,Other,Rural,158,15,3,2,240,0,387,0,False,3,1455,Tablet,3349,14,5,Organic Search,1,76.4571761661855,387
22,Other,Urban,468,29,12,3,44,17,416,0,True,7,1803,Mobile,1468,1,1,Email,0,23.500367497235544,416
65,Other,Urban,90,44,5,1,30,19,95,0,False,5,300,Tablet,1028,2,4,Organic Search,0,32.48922808037328,95
45,Female,Rural,237,1,0,1,98,12,129,0,False,1,860,Tablet,1442,3,5,Email,1,66.31344997219773,129
59,Male,Urban,195,10,4,1,58,1,261,0,False,5,907,Mobile,889,6,5,Paid Ads,0,51.95544166557504,261
45,Other,Urban,156,30,17,1,238,8,164,0,False,6,349,Desktop,3076,14,1,Organic Search,0,72.67433928744431,164
46,Other,Urban,14,8,4,4,193,13,451,0,False,5,1973,Tablet,2208,3,2,Email,0,13.051504435015481,451
45,Other,Suburban,421,38,12,4,38,11,170,0,False,4,1188,Tablet,953,0,4,Organic Search,1,79.04009139167744,170
58,Male,Urban,101,45,2,3,439,8,403,0,False,6,168,Mobile,1892,4,4,Organic Search,1,41.745661345569076,403
58,Female,Urban,44,30,17,2,238,0,160,0,True,9,22,Mobile,1679,2,5,Organic Search,0,98.90263042643673,160
31,Female,Suburban,406,43,19,5,346,17,227,0,True,2,1967,Mobile,787,11,5,Email,0,39.847732647168996,227
50,Male,Urban,309,38,3,5,251,3,36,0,True,7,1767,Tablet,1579,6,4,Social Media,0,19.121372463936673,36
18,Female,Suburban,195,49,10,3,490,2,134,0,True,7,1907,Mobile,680,13,4,Paid Ads,1,19.640952998693052,134
48,Male,Suburban,539,30,1,4,89,13,353,0,True,1,41,Mobile,2464,7,4,Email,0,41.10573614417803,353
31,Female,Urban,126,40,15,1,172,17,290,0,False,10,1248,Tablet,3085,4,4,Organic Search,0,47.039162386835685,290
33,Female,Rural,82,49,8,5,213,1,56,0,True,2,353,Tablet,1018,11,4,Email,0,35.55135423437076,56
67,Male,Suburban,43,5,6,1,366,5,142,0,False,4,1616,Mobile,1044,9,4,Email,0,88.10448399022343,142
62,Female,Rural,309,39,3,5,28,18,312,0,False,1,1106,Tablet,1815,12,1,Paid Ads,1,11.570783583944154,312
30,Female,Suburban,498,8,20,2,384,13,60,0,False,8,1494,Desktop,3562,15,4,Social Media,1,24.47927046693161,60
33,Other,Suburban,44,23,17,1,312,18,344,0,False,8,945,Desktop,2027,0,1,Email,0,91.55269373152426,344
36,Male,Urban,471,23,17,3,188,2,382,0,False,2,754,Tablet,324,11,5,Social Media,0,21.099170038501867,382
66,Male,Suburban,488,1,13,5,245,16,259,0,True,6,1734,Mobile,1562,6,1,Paid Ads,1,15.211401432675366,259
30,Male,Rural,436,18,0,2,390,3,14,0,False,4,133,Mobile,1542,11,2,Social Media,1,71.68698212416004,14
65,Female,Urban,494,31,11,3,135,2,450,0,True,9,272,Desktop,3509,13,2,Organic Search,1,84.97443354084383,450
28,Male,Urban,385,25,2,1,0,15,415,0,False,8,419,Tablet,2739,14,1,Organic Search,0,38.17782665823009,415
20,Other,Suburban,234,1,5,5,369,6,109,0,False,8,222,Tablet,3279,12,5,Email,0,58.89943623115725,109
60,Male,Urban,563,48,7,4,65,13,148,0,False,1,1242,Desktop,275,6,2,Organic Search,0,33.72451454329202,148
50,Male,Urban,462,17,18,1,33,1,66,0,False,10,1293,Tablet,2022,3,2,Social Media,0,26.817861923946687,66
53,Female,Rural,280,34,5,3,346,6,59,0,False,8,133,Mobile,2579,2,5,Email,0,35.511602115928866,59
62,Female,Suburban,144,15,15,2,387,17,376,0,False,2,719,Mobile,1807,2,1,Email,0,64.29636403726751,376
32,Other,Urban,440,7,7,3,312,17,375,0,True,4,1518,Desktop,2088,9,4,Social Media,0,14.143233681360115,375
57,Female,Rural,378,26,10,5,73,0,384,0,True,1,1646,Desktop,3168,6,4,Email,0,44.971602723614865,384
41,Female,Urban,574,1,7,4,22,4,45,0,False,3,216,Mobile,2891,9,3,Paid Ads,0,99.73066210992765,45
36,Female,Urban,534,6,0,4,473,7,386,0,True,1,1874,Desktop,1836,2,5,Social Media,0,62.35612940094263,386
41,Other,Suburban,27,39,1,1,263,14,396,0,True,7,1988,Tablet,333,6,3,Social Media,0,84.75047045930779,396
40,Other,Rural,227,11,1,1,9,2,343,0,True,9,1405,Desktop,2478,13,5,Email,0,29.30263686900973,343
22,Other,Urban,129,46,16,4,288,13,40,0,True,4,1472,Mobile,1420,7,4,Social Media,0,84.70903209749831,40
69,Female,Rural,141,21,13,4,392,9,436,0,True,9,1280,Mobile,604,7,3,Email,0,25.097588170539353,436
21,Male,Rural,234,4,16,3,241,3,500,0,True,8,1110,Tablet,153,6,5,Organic Search,1,55.48774848871637,500
21,Female,Rural,38,22,2,3,84,7,26,0,True,1,1277,Mobile,1014,15,5,Social Media,0,15.367772787560003,26
55,Female,Urban,223,1,3,5,51,8,414,0,True,5,272,Desktop,2983,4,5,Organic Search,0,55.91270601415984,414
21,Other,Rural,592,14,19,2,143,18,128,0,True,4,1457,Tablet,2896,0,3,Social Media,1,84.23920861145052,128
63,Male,Suburban,437,31,0,2,35,15,113,0,True,3,1208,Desktop,3519,4,0,Email,0,12.655566536319135,113
46,Male,Rural,176,43,18,5,138,13,410,0,False,7,1193,Mobile,2460,13,3,Paid Ads,0,68.6092660761898,410
63,Male,Suburban,239,23,10,5,204,2,332,0,False,1,1738,Tablet,1121,1,1,Organic Search,0,42.40994966738057,332
53,Male,Suburban,266,6,11,4,338,7,345,0,False,5,1107,Tablet,963,14,4,Paid Ads,1,83.2829192722036,345
63,Other,Urban,503,35,18,5,470,16,118,0,False,3,1110,Desktop,2517,8,3,Paid Ads,0,82.45115418406243,118
38,Female,Suburban,210,38,15,2,383,14,386,0,False,1,242,Desktop,493,13,1,Social Media,1,75.05711104069461,386
52,Other,Suburban,484,30,19,3,454,17,60,0,True,4,1428,Tablet,305,12,2,Social Media,0,43.78294246067351,60
53,Other,Suburban,410,27,20,1,257,2,405,0,False,4,1165,Desktop,1065,5,4,Social Media,0,78.38401802043707,405
23,Other,Rural,82,35,3,4,144,5,177,0,False,6,163,Tablet,2473,7,1,Organic Search,0,27.78197585604478,177
30,Female,Rural,53,45,7,2,494,0,452,0,True,2,976,Mobile,3215,13,3,Social Media,0,10.383393333547694,452
62,Other,Rural,365,12,10,2,52,1,107,0,False,1,1273,Desktop,2359,14,2,Paid Ads,1,89.35285561364049,107
69,Female,Rural,261,37,4,1,25,1,356,0,False,8,434,Desktop,817,12,5,Social Media,1,94.11027346230749,356
46,Male,Urban,505,1,5,1,286,13,138,0,True,1,1083,Desktop,854,4,0,Social Media,1,28.151216735308367,138
24,Female,Suburban,545,22,12,3,115,5,158,0,False,6,757,Desktop,3049,6,3,Email,1,55.569912029545556,158
38,Female,Suburban,500,9,20,5,104,1,218,0,True,8,1740,Mobile,1954,6,1,Paid Ads,0,65.65856672500115,218
65,Female,Urban,462,22,0,3,24,17,80,0,True,6,336,Mobile,393,9,4,Social Media,0,14.709292740730291,80
46,Male,Suburban,184,13,4,2,320,13,69,0,True,3,1935,Mobile,2291,11,3,Organic Search,0,95.96731738900237,69
36,Other,Suburban,225,9,4,3,72,5,194,0,False,5,515,Desktop,3150,10,1,Social Media,0,14.265657409984932,194
45,Male,Suburban,506,48,3,3,368,5,305,0,True,4,1529,Desktop,2809,4,5,Email,0,19.61077569389744,305
25,Other,Suburban,220,19,15,2,446,0,426,0,True,1,536,Desktop,3456,7,3,Email,0,36.618995074144884,426
34,Other,Urban,36,32,13,3,488,2,320,0,False,9,1102,Mobile,1131,3,0,Organic Search,0,85.85549490230396,320
54,Female,Urban,422,13,12,3,117,7,154,0,False,2,918,Mobile,2848,0,1,Organic Search,1,53.90458454392799,154
63,Female,Suburban,119,49,7,2,278,6,232,0,False,9,1565,Mobile,929,11,5,Email,1,93.27536583089469,232
56,Other,Rural,458,48,18,4,209,1,167,0,True,10,1980,Tablet,2438,5,3,Social Media,0,54.397554472992965,167
25,Female,Suburban,10,28,0,2,424,1,73,0,False,4,1900,Desktop,1198,2,1,Email,0,45.536574067209436,73
20,Male,Rural,594,22,18,2,199,2,37,0,False,7,592,Tablet,3502,5,4,Paid Ads,0,12.48404760299725,37
32,Female,Rural,527,6,0,1,491,19,391,0,True,8,1759,Tablet,3314,10,3,Paid Ads,0,39.389589168309314,391
46,Female,Suburban,377,37,1,2,182,12,255,0,True,4,323,Tablet,434,9,0,Organic Search,1,36.846145115325825,255
40,Female,Suburban,274,24,4,1,89,18,413,0,True,6,1908,Desktop,1740,10,3,Email,0,78.36460454983303,413
46,Male,Suburban,77,10,13,5,323,10,173,0,False,6,1318,Desktop,373,4,2,Organic Search,0,14.072533937062612,173
36,Other,Urban,167,34,14,2,224,1,467,0,True,3,306,Tablet,712,6,3,Paid Ads,1,58.01516050624953,467
40,Male,Urban,476,27,10,2,229,14,322,0,True,8,666,Mobile,3309,3,4,Email,0,41.75833945823031,322
36,Female,Suburban,373,3,14,5,367,0,497,0,True,6,1330,Tablet,1562,9,2,Paid Ads,0,80.6843267949186,497
38,Female,Suburban,312,26,1,5,286,6,326,0,True,5,1698,Mobile,671,10,4,Email,0,54.960696561125964,326
47,Male,Urban,198,4,10,3,244,15,128,0,False,1,1055,Tablet,3078,9,3,Social Media,0,38.23835580062718,128
57,Female,Suburban,379,15,19,5,149,16,275,0,True,9,638,Tablet,3034,14,5,Paid Ads,0,93.71107751890621,275
28,Other,Rural,476,39,12,3,340,4,21,0,False,9,1713,Mobile,1205,13,0,Email,1,73.59883308103068,21
41,Other,Rural,340,5,12,3,335,2,461,0,False,1,390,Mobile,859,6,1,Social Media,0,27.69855952020977,461
51,Female,Suburban,72,39,13,3,132,17,467,0,False,1,612,Desktop,3273,7,3,Email,0,99.08035452061061,467
38,Female,Rural,551,40,14,4,258,6,129,0,True,2,1929,Tablet,135,3,4,Paid Ads,0,45.629512457246356,129
45,Female,Urban,264,30,7,2,321,11,146,0,True,2,767,Tablet,482,5,5,Email,0,97.26494107892971,146
26,Other,Suburban,214,25,1,1,59,4,103,0,False,4,87,Desktop,3538,13,0,Paid Ads,0,54.500528721946516,103
41,Other,Rural,386,28,3,4,376,14,108,0,True,9,89,Tablet,2475,5,5,Paid Ads,0,85.00219911998427,108
51,Other,Urban,19,42,10,3,361,8,375,0,True,3,614,Mobile,232,11,4,Paid Ads,1,35.694133367828144,375
50,Male,Suburban,435,13,19,5,352,11,130,0,False,3,894,Tablet,331,5,0,Social Media,0,15.15183161720643,130
23,Other,Rural,335,46,13,5,104,5,90,0,False,10,417,Tablet,1397,4,1,Social Media,1,31.467950190768224,90
38,Male,Urban,550,18,4,1,197,12,426,0,True,8,1410,Tablet,209,4,0,Paid Ads,0,49.60057506114447,426
36,Male,Suburban,124,10,4,5,331,14,234,0,False,1,1972,Mobile,788,14,5,Paid Ads,0,60.962647595315445,234
49,Male,Urban,451,41,20,1,269,13,455,0,True,3,1337,Mobile,1818,8,3,Social Media,1,29.67897616777565,455
68,Male,Rural,263,25,2,1,143,11,47,0,False,8,29,Desktop,3553,1,4,Social Media,0,81.2447478664418,47
45,Other,Suburban,472,4,8,4,160,17,401,0,False,7,1285,Tablet,1913,7,1,Organic Search,0,51.695811226554426,401
29,Male,Urban,391,12,18,5,365,9,141,0,True,5,882,Mobile,2108,12,3,Social Media,1,34.798063952077584,141
69,Female,Suburban,151,33,9,2,180,0,275,0,True,2,931,Mobile,2516,2,1,Organic Search,1,43.72583935887636,275
40,Female,Suburban,101,20,1,1,75,15,459,0,True,3,1520,Desktop,3412,5,0,Paid Ads,1,26.50673743669701,459
40,Other,Suburban,40,29,7,5,435,8,21,0,True,1,1515,Tablet,127,7,5,Organic Search,1,13.352937960611927,21
18,Other,Rural,439,17,3,4,183,8,241,0,True,10,1180,Mobile,1064,0,2,Paid Ads,1,94.07811751715595,241
47,Female,Urban,474,20,1,2,109,5,425,0,True,6,56,Desktop,964,7,2,Email,0,54.831798698657096,425
58,Female,Suburban,578,4,2,4,54,8,475,0,False,10,892,Tablet,2809,7,2,Social Media,0,16.26663727971616,475
50,Female,Suburban,20,45,16,2,484,9,220,0,True,4,1447,Mobile,2237,0,4,Paid Ads,1,45.834635036126656,220
