age,gender,location,time_on_site,pages_visited,num_purchases,customer_rating,product_id,category_id,price,discount,in_stock,delivery_time,user_id,device_type,session_duration,orders_completed,support_interactions,marketing_channel,target
36,Male,Urban,376,29,4,2,48,11,392,0,False,2,1994,Mobile,999,3,0,Social Media,0
70,Female,Rural,526,6,10,2,302,8,121,0,True,9,1402,Mobile,1339,2,2,Email,0
48,Male,Rural,480,50,15,1,153,3,473,0,True,9,1241,Mobile,1407,5,5,Paid Ads,0
50,Male,Rural,179,23,4,5,70,13,193,0,True,4,1884,Desktop,390,7,0,Organic Search,0
59,Male,Rural,334,34,6,5,456,13,201,0,False,7,155,Desktop,1076,2,4,Social Media,1
65,Female,Rural,52,44,1,5,173,6,40,0,True,7,1766,Tablet,1425,1,2,Social Media,0
43,Male,Suburban,215,23,0,5,99,17,375,0,True,2,917,Mobile,458,6,5,Organic Search,0
36,Male,Urban,179,35,20,4,453,14,85,0,True,5,1207,Mobile,2184,8,4,Organic Search,0
40,Other,Urban,115,10,1,3,145,13,430,0,True,8,152,Tablet,197,15,5,Social Media,0
51,Female,Urban,18,34,10,3,284,19,205,0,False,1,1622,Desktop,3131,12,5,Social Media,0
67,Female,Rural,346,12,12,3,278,15,285,0,True,7,1119,Tablet,1804,6,0,Social Media,0
20,Other,Rural,310,4,3,1,161,0,51,0,True,10,6,Tablet,3101,1,1,Organic Search,0
70,Other,Urban,280,37,12,4,411,13,431,0,True,10,642,Tablet,1098,11,0,Social Media,0
64,Female,Urban,329,17,19,5,497,16,45,0,False,3,1558,Tablet,787,14,2,Paid Ads,1
20,Male,Rural,154,47,18,5,45,13,60,0,False,2,1547,Tablet,3134,14,5,Paid Ads,0
44,Female,Suburban,321,33,1,4,64,11,29,0,False,3,756,Mobile,2568,13,4,Paid Ads,0
37,Female,Suburban,571,40,7,3,34,11,165,0,False,6,1123,Desktop,1436,15,2,Email,0
55,Female,Urban,477,1,7,2,435,16,28,0,False,3,1918,Desktop,1269,15,1,Social Media,0
59,Male,Suburban,337,24,20,5,218,9,365,0,False,3,1319,Desktop,3015,13,2,Organic Search,1
69,Female,Rural,329,11,3,2,347,12,246,0,True,5,1957,Mobile,1119,12,3,Paid Ads,0
66,Male,Rural,121,3,3,5,336,12,242,0,False,1,631,Tablet,818,5,3,Paid Ads,0
22,Male,Urban,528,2,16,3,94,11,435,0,True,6,519,Tablet,3055,6,3,Social Media,0
37,Male,Suburban,383,20,18,2,376,8,217,0,True,2,251,Desktop,688,13,1,Social Media,0
33,Female,Suburban,71,18,2,1,38,15,133,0,False,6,1004,Desktop,1710,0,0,Paid Ads,0
68,Female,Urban,517,43,17,5,132,10,456,0,False,7,234,Desktop,2238,8,5,Social Media,1
37,Other,Urban,88,40,10,2,261,2,392,0,False,10,1021,Mobile,308,2,5,Paid Ads,0
41,Male,Rural,342,15,18,4,199,3,286,0,False,1,1965,Tablet,2643,10,4,Organic Search,1
48,Other,Rural,253,3,9,2,243,18,221,0,False,2,1486,Desktop,3069,14,5,Paid Ads,0
69,Other,Urban,596,27,20,2,139,16,492,0,False,9,346,Mobile,2985,13,4,Social Media,0
