age,gender,location,time_on_site,pages_visited,num_purchases,customer_rating,product_id,category_id,price,discount,in_stock,delivery_time,user_id,device_type,session_duration,orders_completed,support_interactions,marketing_channel,target
28,Female,Suburban,45,21,2,2,293,5,321,0,True,9,814,Mobile,3346,7,0,Social Media,0
22,Female,Suburban,600,11,2,2,321,9,221,0,False,8,24,Desktop,2552,1,4,Paid Ads,0
59,Other,Suburban,552,47,0,1,384,9,125,0,False,9,1608,Tablet,378,12,5,Paid Ads,0
34,Other,Suburban,287,34,2,3,250,8,82,0,True,1,1256,Mobile,1061,11,5,Email,0
37,Female,Suburban,494,25,18,1,377,13,345,0,True,4,1193,Desktop,3160,15,2,Social Media,0
54,Female,Urban,293,30,16,2,49,10,192,0,True,1,1741,Desktop,2349,10,1,Organic Search,0
19,Male,Rural,473,43,13,2,362,16,99,0,True,10,533,Mobile,2249,3,4,Email,0
27,Other,Rural,101,19,19,2,45,8,186,0,False,8,500,Desktop,216,8,0,Social Media,0
55,Male,Rural,293,28,0,5,9,8,204,0,True,5,197,Desktop,2345,10,1,Email,0
37,Male,Suburban,78,9,19,4,103,3,269,0,True,4,1102,Mobile,2765,15,2,Email,2
26,Other,Suburban,105,28,11,1,327,2,282,0,False,7,1840,Desktop,2662,0,4,Social Media,0
59,Other,Rural,174,33,2,4,42,9,290,0,False,10,1499,Mobile,1337,1,5,Social Media,0
55,Male,Urban,361,18,14,4,239,16,46,0,True,3,1856,Tablet,438,0,3,Paid Ads,2
48,Female,Suburban,595,20,2,1,376,15,443,0,True,8,919,Desktop,2086,11,1,Paid Ads,0
41,Male,Urban,541,30,5,5,421,18,86,0,False,4,255,Tablet,3364,4,2,Email,0
40,Female,Urban,536,27,6,5,3,7,451,0,False,10,1647,Mobile,3195,6,5,Organic Search,0
56,Other,Suburban,532,32,19,1,267,13,250,0,False,7,1120,Desktop,2280,2,0,Paid Ads,0
42,Other,Rural,150,39,5,2,49,2,237,0,True,8,1510,Desktop,1002,14,0,Email,1
35,Female,Suburban,388,43,9,3,389,18,297,0,False,1,856,Mobile,1921,3,1,Organic Search,0
64,Other,Suburban,596,23,12,1,397,7,470,0,False,2,1091,Tablet,989,4,4,Social Media,0
55,Female,Suburban,322,27,0,1,305,4,383,0,True,3,1011,Tablet,2729,0,3,Email,0
50,Female,Urban,212,10,7,3,80,19,406,0,True,3,1818,Tablet,1362,6,0,Email,1
20,Male,Suburban,168,24,17,5,5,5,201,0,True,4,798,Tablet,2180,13,2,Email,2
33,Male,Suburban,316,7,13,4,295,2,187,0,False,6,28,Tablet,2409,0,1,Paid Ads,2
34,Other,Urban,236,38,6,2,56,3,86,0,True,5,1651,Desktop,1497,0,2,Social Media,1
47,Female,Rural,506,35,1,5,222,3,111,0,False,2,1651,Mobile,310,5,2,Email,0
46,Male,Suburban,196,34,1,4,115,12,371,0,True,8,666,Mobile,1028,5,1,Email,0
60,Other,Suburban,249,22,15,1,199,7,32,0,True,4,1995,Tablet,1100,8,1,Email,0
22,Female,Urban,258,21,0,2,297,10,348,0,False,5,597,Desktop,509,12,4,Social Media,0
18,Other,Urban,346,27,8,5,379,11,26,0,True,3,177,Desktop,1903,14,5,Organic Search,2
30,Other,Urban,279,36,17,3,42,5,379,0,False,2,1205,Tablet,2297,10,5,Paid Ads,0
34,Female,Rural,556,38,5,3,258,16,187,0,True,5,1462,Tablet,2670,4,1,Organic Search,1
37,Other,Urban,580,29,20,2,348,11,359,0,False,10,183,Mobile,1658,1,2,Organic Search,0
66,Female,Rural,127,41,20,2,327,15,71,0,False,2,693,Tablet,784,5,2,Social Media,0
18,Female,Urban,468,1,1,3,210,0,157,0,True,9,1214,Desktop,3344,2,1,Organic Search,0
44,Male,Rural,183,47,14,2,493,5,16,0,True,6,696,Mobile,3211,3,1,Organic Search,0
62,Male,Suburban,93,12,10,2,123,15,153,0,False,2,662,Mobile,270,14,3,Social Media,0
67,Male,Suburban,435,37,20,1,118,13,156,0,False,8,816,Desktop,2281,0,3,Email,0
46,Other,Urban,471,9,2,1,271,6,387,0,True,6,1903,Tablet,1778,2,3,Paid Ads,0
66,Female,Rural,234,48,20,4,347,10,17,0,False,3,1460,Desktop,547,2,0,Social Media,2
62,Male,Rural,382,34,11,5,68,5,313,0,False,10,585,Mobile,152,3,2,Paid Ads,2
34,Other,Urban,334,20,14,5,192,15,110,0,True,7,1903,Mobile,3037,0,0,Organic Search,2
56,Male,Urban,15,32,15,4,69,8,192,0,True,7,696,Desktop,2006,11,1,Social Media,2
69,Other,Urban,232,50,6,5,456,12,187,0,False,5,653,Desktop,1358,15,5,Social Media,0
49,Female,Rural,421,21,2,5,237,13,463,0,False,6,850,Mobile,2599,13,5,Email,0
70,Male,Rural,196,12,13,4,299,18,131,0,False,3,1390,Tablet,1135,8,0,Social Media,2
30,Female,Rural,320,25,1,1,1,11,102,0,False,10,813,Tablet,664,4,3,Email,0
69,Other,Suburban,447,27,5,4,474,15,315,0,True,2,1208,Desktop,229,6,4,Organic Search,0
35,Female,Suburban,238,27,16,5,193,3,113,0,True,2,1645,Mobile,961,11,4,Email,2
24,Other,Rural,71,32,4,1,203,5,262,0,True,6,760,Tablet,2718,2,5,Paid Ads,0
67,Other,Urban,399,50,20,3,207,13,452,0,False,10,210,Tablet,1011,2,1,Paid Ads,0
54,Other,Rural,125,28,7,1,413,15,375,0,False,2,1074,Tablet,3589,3,4,Organic Search,0
61,Female,Suburban,48,31,0,1,340,6,185,0,False,4,1796,Desktop,3296,0,2,Paid Ads,0
25,Male,Urban,119,10,0,2,404,8,409,0,False,1,77,Tablet,651,3,1,Organic Search,0
58,Other,Urban,587,27,19,1,337,16,455,0,True,4,904,Tablet,1516,4,3,Social Media,0
58,Male,Urban,338,9,9,1,409,8,385,0,True,10,1528,Tablet,3115,8,1,Paid Ads,0
67,Other,Rural,259,26,6,1,305,10,429,0,True,3,1499,Desktop,421,3,5,Paid Ads,0
52,Other,Urban,462,11,6,2,35,0,422,0,True,7,213,Desktop,259,3,4,Organic Search,1
58,Male,Suburban,528,34,5,5,403,18,344,0,False,3,548,Tablet,775,2,3,Email,0
59,Male,Suburban,256,14,8,5,210,14,421,0,True,5,72,Mobile,473,10,0,Email,2
60,Male,Urban,585,38,0,5,20,17,498,0,False,7,672,Desktop,1533,14,2,Social Media,0
